Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/27,Sunday,TIKTOK,70,Social Media
,Sunday,NETFLIX,49,Entertainment
,Sunday,INSTAGRAM,26,Social Media
,Sunday,MUSIC,15,Entertainment
,Sunday,MESSAGES,12,Social Media
,Sunday,COIN MASTER,9,Entertainment
,Sunday,MAIL,8,Education
,Sunday,WHEN I WORK,7,Work
,Sunday,SNAPCHAT,5,Social Media
8/28,Monday,TIKTOK,53,Social Media
,Monday,INSTAGRAM,35,Social Media
,Monday,MESSAGES,19,Social Media
,Monday,SNAPCHAT,18,Social Media
,Monday,COIN MASTER,17,Entertainment
,Monday,MAP MY FITNESS,14,exercise
,Monday,REMINDERS,10,Education
,Monday,CANVAS,10,Education
,Monday,GMAIL,9,Education
,Monday,MUSIC,8,Entertainment
8/29,Tuesday,INSTAGRAM,49,Social Media
,Tuesday,SAFARI,36,Information
,Tuesday,TIKTOK,34,Social Media
,Tuesday,MUSIC,25,Entertainment
,Tuesday,NETFLIX,20,Entertainment
,Tuesday,CALCULATOR,19,Education
,Tuesday,SNAPCHAT,16,Social Media
8/30,Wednesday,CALCULATOR,41,Education
,Wednesday,INSTAGRAM,23,Social Media
,Wednesday,SNAPCHAT,17,Social Media
,Wednesday,MUSIC,12,Entertainment
,Wednesday,MAP MY FITNESS,10,Exercise
,Wednesday,TIKTOK,10,Social Media
8/31,Thursday,TIKTOK,101,Social Media
,Thursday,INSTAGRAM,35,Social Media
,Thursday,CALCULATOR,26,Education
,Thursday,CANVAS,14,Education
,Thursday,MESSAGES,12,Social Media
,Thursday,TRELLO,10,Information
,Thursday,SNAPCHAT,8,Social Media
,Thursday,MUSIC,6,Entertainment
,Thursday,GMAIL,4,Education
9/1,Friday,TIKTOK,22,Social Media
,Friday,MESSAGES,20,Social Media
,Friday,SAFARI,18,Information
,Friday,SNAPCHAT,16,Social Media
,Friday,INSTAGRAM,14,Social Media
,Friday,AMAZON,10,Entertainment
9/2,Saturday,INSTAGRAM,61,Social Media
,Saturday,TIKTOK,36,Social Media
,Saturday,MESSAGES,26,Social Media
,Saturday,CAMERA,25,Entertainment
,Saturday,SNAPCHAT,19,Social Media
,Saturday,SAFARI,15,Information
,Saturday,MUSIC,14,Entertainment
,Saturday,YOUTUBE,5,Entertainment